,id,street_name,limits,total_count,date
7776,LOGANAV107915,LOGAN AV,49 ST - EUCLID AV,10737,2016-01-14
1074,47ST106315,47 ST,GUYMON ST - F ST,12232,2016-01-14
10130,PARADISEVALLEYRD108215,PARADISE VALLEY RD,MUNDA RD - CITY LIMIT RD,18364,2016-01-19
9186,MUNDARD108915,MUNDA RD,PARADISE VY RD - RIDGEWOOD DR,4269,2016-01-19
1022,43ST106115,43 ST,NATIONAL AV - LOGAN AV,6070,2016-01-19
13353,WABASKADR001916,WABASKA DR,TENNYSON ST - VOLTAIRE ST,2345,2016-01-20
1258,62ST108115,62 ST,IMPERIAL AV - AKINS AV,4250,2016-01-21
7971,MAINST108815,MAIN ST,RIGEL ST - SIVA ST,19550,2016-01-21
1551,ALDINEDR002116,ALDINE DR,FAIRMOUNT AV - MONROE AV,21104,2016-01-28
2979,CAMINODELRION002316,CAMINO DEL RIO N ,QUALCOMM WY - MISSION CITY PY,9419,2016-01-28
8278,MEADOWBROOKDR109615,MEADOWBROOK DR,PARADISE VY RD - ROYAL OAK DR,11426,2016-01-28
2224,BERNARDOCTRDR001316,BERNARDO CTR DR,W BERNARDO DR - CLOUDCREST DR,16858,2016-02-02
6396,HIBERTST000716,HIBERT ST,TREENA ST - SCRIPPS RANCH BL,3997,2016-02-02
10590,POMERADORD000416,POMERADO RD,WILLOW CRK RD - SCRIPPS RH BL,23211,2016-02-02
2177,BERNARDOCTRDR001616,BERNARDO CTR DR,BERNARDO HTS PY - SD 015 PY,21626,2016-02-02
1861,AVIARYDR000516,AVIARY DR,CAMINITO MEMOSAC DR - ATRIUM DR,3553,2016-02-02
2196,BERNARDOCTRDR001816,BERNARDO CTR DR,ESCALA DR - SD 015 DR,6300,2016-02-02
2190,BERNARDOCTRDR001416,BERNARDO CTR DR,CLOUDCREST DR - SD 015 R-A DR,23374,2016-02-02
11627,SCRIPPSLAKEDR000616,SCRIPPS LAKE DR,SCRIPPS RANCH BL - RED CEDAR DR,10298,2016-02-02
2915,CAMINODELNORTE001516,CAMINO DEL NORTE ,BERNARDO CTR DR - CITY LIMIT DR,32804,2016-02-02
3363,CARMELMOUNTAINRD001116,CARMEL MOUNTAIN RD,PENASQUITOS RD - SD 015 RD,26985,2016-02-02
3468,CARROLLCANYONRD000916,CARROLL CANYON RD,BUSINESS PARK AV - SCRIPPS RH BL,14878,2016-02-02
8190,MATINALRD001716,MATINAL RD,MATINAL CR - W BERNARDO DR,5357,2016-02-02
2679,BUSINESSPARKAV000816,BUSINESSPARK AV,WILLOW CRK RD - CARROLL CYN RD,7542,2016-02-02
12319,TENNYSONST002016,TENNYSON ST,NIMITZ BL - WABASKA DR,1994,2016-02-03
4512,DELSOLBL002216,DEL SOL BL,OCEAN VIEW HILLS PY - SURFPOINT WY,5247,2016-02-03
6684,IMPERIALAV002416,IMPERIAL AV,40 ST - SD 805 ST,12089,2016-02-03
3476,CARROLLCANYONRD007316,CARROLL CANYON RD,CAMINITO ZAR  - CAMINITO VOLAR ,17914,2016-02-16
6465,HILLERYDR007416,HILLERY DR,BLACK MOUNTAIN RD - WESTVIEW PY,15964,2016-02-16
13235,WBERNARDODR007116,W BERNARDO DR,W BERNARDO CT - RANCHO BERNARDO RD,15023,2016-02-16
10774,RANCHOBERNARDORD007016,RANCHO BERNARDO RD,W BERNARDO CT - RANCHO BERNARDO CT,21253,2016-02-16
2639,BROADWAYBROADWAY006916,BROADWAY BROADWAY,PARK BL - 17 ST,7889,2016-02-16
3399,CARMELMOUNTAINRD001216,CARMEL MOUNTAIN RD,W RANCHO CARMEL DR - STONEY PEAK DR,37393,2016-02-23
5178,FAIRBROOKRD001016,FAIRBROOK RD,POMERADO RD - CAMINITO MAGNIFICA RD,3594,2016-02-23
10502,POMERADORD000316,POMERADO RD,ELLIOTT FIELD STATION EN - WILLOW CRK RD,27566,2016-02-25
8252,MEADEAV004016,MEADE AV,OHIO ST - ILLINOIS ST,7638,2016-03-01
6785,INDIAST006216,INDIA ST,LAUREL ST - SD 005 ST,10276,2016-03-01
1887,BST005816,B ST,04 AV - 05 AV,7531,2016-03-01
5440,FLORIDADR002616,FLORIDA DR,PERSHING DR - B WILSON DR,22549,2016-03-01
10210,PARKBL002916,PARK BL,SD 005 WY - PRESIDENTS WY,19352,2016-03-01
6130,GRAPEST006816,GRAPE ST,COLUMBIA ST - STATE ST,25749,2016-03-01
10383,PERSHINGDR003016,PERSHING DR,26 ST - JACARANDA DR,15906,2016-03-01
4968,ELMST006316,ELM ST,04 AV - 05 AV,6878,2016-03-01
4963,ELMST006416,ELM ST,02 AV - 03 AV,5768,2016-03-01
23,01AV006516,01 AV,ELM ST - FIR ST,3474,2016-03-01
1893,BST005916,B ST,05 AV - 06 AV,7935,2016-03-01
7588,LAURELST006016,LAUREL ST,KETTNER BL - INDIA ST,17223,2016-03-01
5983,GOLDFINCHST004716,GOLDFINCH ST,SUTTER ST - BUSH ST,6651,2016-03-01
12801,UNIVERSITYAV004916,UNIVERSITY AV,EAGLE ST - DOVE ST,11628,2016-03-01
3935,CLEVELANDAV005016,CLEVELAND AV,WASHINGTON ST - TYLER AV,4994,2016-03-01
350,06AV006616,06 AV,FIR ST - GRAPE ST,11527,2016-03-01
4864,ELCAJONBL003916,EL CAJON BL,OHIO ST - ILLINOIS ST,39916,2016-03-01
1739,ASHST005616,ASH ST,08 AV - 09 AV,10399,2016-03-01
9625,NORMALST003716,NORMAL ST,WASHINGTON ST - EL CAJON BL,28516,2016-03-02
10983,RICHMONDST004816,RICHMOND ST,ROBINSON AV - ESSEX ST,5160,2016-03-02
13308,WOCEANAIRDR007216,W OCEAN AIR DR,CALLE MAR DE MARIPOSA  - SENDA ACUARIO ,5977,2016-03-02
5429,FLORIDAAV003416,FLORIDA AV,UNIVERSITY AV - LINCOLN AV AV,4402,2016-03-02
12817,UNIVERSITYAV003216,UNIVERSITY AV,MISSISSIPPI ST - LOUISIANA ST,18431,2016-03-03
210,04AV004516,04 AV,UNIVERSITY AV - WASHINGTON ST,7422,2016-03-10
393,06AV004616,06 AV,UNIVERSITY AV - SD 163 AV,37557,2016-03-10
8287,MEADOWBROOKDR009516,MEADOWBROOK DR,SKYLINE DR - SAN VICENTE ST,5251,2016-03-16
12432,TORREYMEADOWSDR009716,TORREY MEADOWS DR,CAMINO SUR  - VIA FONTEZZA ,2896,2016-03-16
11082,ROLLDR009616,ROLL DR,SIEMPRE VIVA RD - VIA AMISTAD RD,9924,2016-03-22
9825,OSLERST007516,OSLER ST,COMSTOCK ST - ULRIC ST,4114,2016-03-22
12343,TEXASST003516,TEXAS ST,LANDIS ST - WIGHTMAN ST,3733,2016-03-22
7670,LINCOLNAV003616,LINCOLN  AV,UTAH ST - KANSAS ST,4414,2016-03-29
12932,UTAHST003116,UTAH ST,NORTH PARK WY - UNIVERSITY AV,3852,2016-03-29
12349,TEXASST004216,TEXAS ST,MADISON AV - MISSION AV,24256,2016-03-29
4858,ELCAJONBL003816,EL CAJON BL,MISSISSIPPI ST - LOUISIANA ST,21108,2016-03-29
7921,MADISONAV004316,MADISON AV,UTAH ST - KANSAS ST,5207,2016-03-29
7911,MADISONAV004416,MADISON AV,MISSISSIPPI ST - LOUISIANA ST,6258,2016-03-29
1328,AST005716,A ST,08 AV - 09 AV,15259,2016-03-30
13,01AV005516,01 AV,BEECH ST - CEDAR ST,25715,2016-03-30
4103,COLUMBIAST005416,COLUMBIA ST,CEDAR ST - DATE ST,3117,2016-03-30
270,05AV006716,05 AV,IVY ST - JUNIPER ST,7747,2016-03-30
644,28ST002516,28 ST,ASH ST - BEECH ST,3348,2016-03-30
7669,LINCOLNAV005216,LINCOLN  AV,NORMAL ST - CENTRE ST,7174,2016-03-30
1765,ASHST005316,ASH ST,PACIFIC HY - KETTNER BL,10080,2016-03-30
3923,CLEVELANDAV005116,CLEVELAND AV,LINCOLN AV - WASHINGTON ST,3662,2016-03-30
7211,KETTNERBL006116,KETTNER BL,MAPLE ST - NUTMEG ST,15291,2016-03-30
12353,TEXASST004116,TEXAS ST,MISSION AV - ADAMS  AV,24323,2016-03-30
12871,UPASST002716,UPAS ST,28 ST - UTAH ST,10111,2016-03-30
1918,BST003316,B ST,26 ST - 27 ST,5894,2016-03-30
12910,UPASST002816,UPAS ST,W 30 ST - E 30 ST,12147,2016-03-30
12655,UNIVERSITYAV008216,UNIVERSITY AV,31 ST - IOWA ST,19516,2016-04-05
5580,FRIARSRD008316,FRIARS RD,SANTO RD - RIVERDALE ST,48824,2016-04-05
1323,AST008716,A ST,05 AV - 06 AV,14547,2016-04-05
9662,OBERLINDR009816,OBERLIN DR,SCRANTON DR - MIRA MESA BL,3240,2016-04-05
1322,AST009716,A ST,05 AV - 06 AV,14547,2016-04-05
1756,ASHST008616,ASH ST,INDIA ST - COLUMBIA ST,11211,2016-04-05
5354,FEDERALBL009416,FEDERAL BL,EUCLID AV - PENTECOST WY,4747,2016-04-05
7596,LAURELST008116,LAUREL ST,N HARBOR DR - PACIFIC HY,30475,2016-04-06
6792,INDIAST007616,INDIA ST,QUINCE ST - REDWOOD ST,16600,2016-04-06
377,06AV007816,06 AV,PALM ST - QUINCE ST,18672,2016-04-06
286,05AV008016,05 AV,PALM ST - QUINCE ST,8391,2016-04-06
6761,INDIAST008816,INDIA ST,BROADWAY ST - C ST,3708,2016-04-06
96,02AV008416,02 AV,BEECH ST - CEDAR ST,4130,2016-04-06
54,01AV007716,01 AV,PALM ST - QUINCE ST,5783,2016-04-06
10954,REYNARDWY007916,REYNARD WY,CURLEW ST - OTSEGO DR,3788,2016-04-06
6974,JEWELLST009016,JEWELL ST,HORNBLEND ST - GARNET AV,5720,2016-04-06
6964,JEWELLST008916,JEWELL ST,GARNET AV - EMERALD ST,6738,2016-04-06
8715,MISSIONBL009116,MISSION BL,SUNSET CT - TANGIERS CT,13194,2016-04-06
223,05AV008516,05 AV,A ST - ASH ST,13512,2016-04-06
7456,LAMEDIARD010016,LA MEDIA RD,SIEMPRE VIVA RD - KERNS ST,38446,2016-04-07
5018,EUCLIDAV009316,EUCLID AV,BEECH ST - LYON ST,38546,2016-04-07
10758,RANCHOBERNARDORD009916,RANCHO BERNARDO RD,BERNARDO OAKS DR - CITY LIMIT DR,28161,2016-04-07
8105,MARKETST015416,MARKET ST,DENBY ST - TONYE ST,16554,2016-04-14
8127,MARKETST015316,MARKET ST,RAVEN ST - 41 ST,17824,2016-04-14
10759,RANCHOBERNARDORD015116,RANCHO BERNARDO RD,BERNARDO OAKS DR - CITY LIMIT DR,22203,2016-04-19
13041,VIACAPRICAPRI015516,VIA CAPRI CAPRI,RUE ANNE N - RUE MICHAEL N,13953,2016-04-28
13148,VIRGINIAWY015216,VIRGINIA WY,IVANHOE AV - EXCHANGE PL,3673,2016-04-28
5060,EUCLIDAV009216,EUCLID AV,MARILOU RD - 54 ST,22028,2016-04-28
13260,WHILLSPY013216,W HILLS PY,MISSION GORGE RD - CARLTON OAKS DR,10997,2016-05-03
12109,STATEST015016,STATE ST,CEDAR ST - DATE ST,2838,2016-05-03
9501,NAVAJORD014216,NAVAJO RD,RIDGE  BL - JACKSON DR,14817,2016-05-03
6753,INDIAST014916,INDIA ST,B ST - A ST,5449,2016-05-03
865,32ST010316,32 ST,UNIVERSITY AV - LINCOLN AV,2958,2016-05-03
1559,ALDINEDR011016,ALDINE DR,VAN DYKE AV - FAIRMOUNT AV,4705,2016-05-03
3344,CARMELMOUNTAINRD015716,CARMEL MOUNTAIN RD,CHERRY HILL DR - AMBERGLADES LN,8417,2016-05-03
6457,HIGHWOODDR014016,HIGHWOOD DR,MEWALL DR - GROSSMONT COLLEGE DR,6275,2016-05-03
13253,WHILLSPY013416,W HILLS PY,CARLTON OAKS DR - MAST BL,10870,2016-05-04
12987,VANDYKEAV011116,VAN DYKE AV,ADAMS AV - ALDINE DR AV,5097,2016-05-04
5389,FERNST012316,FERN ST,CEDAR ST - DATE ST,8889,2016-05-05
12664,UNIVERSITYAV010416,UNIVERSITY AV,33 ST - WABASH AV,22132,2016-05-05
1430,ADAMSAV011216,ADAMS AV,KENSINGTON DR - MARLBOROUGH DR,8185,2016-05-05
8773,MISSIONGORGERD013316,MISSION GORGE RD,DEERFIELD ST - JACKSON DR,19961,2016-05-05
4756,ELCAJONBL010516,EL CAJON BL,38 ST - 39 ST,22269,2016-05-05
1203,54ST011616,54 ST ,COLLEGE GROVE DR - REDWOOD ST,23936,2016-05-10
1448,ADOBEFALLSRD022416,ADOBE FALLS RD,ORCUTT AV - SD 008 AV,1182,2016-05-10
3971,COLIMAST021716,COLIMA ST,BELLEVUE AV - TAFT AV,1350,2016-05-10
8864,MONTEVISTAAV021916,MONTE VISTA AV,FERN GLEN ST - MARINE ST,914,2016-05-10
9803,ORCHARDAV022016,ORCHARD AV,SUNSET CLIFFS BL - CABLE ST,2468,2016-05-10
5379,FERNGL021816,FERN GL,NEPTUNE PL - MONTE VISTA AV,1055,2016-05-10
10035,PACIFICMESABL021616,PACIFIC MESA BL,PACIFIC CTR BL - PACIFIC MESA CT,7983,2016-05-10
10204,PARKBL022116,PARK BL,RUSS BL - SD 005 R-A BL,14179,2016-05-10
4525,DELSURBL021516,DEL SUR BL,ROSA LINDA ST - ARRUZA ST,3094,2016-05-10
1612,ALVARADOCYNRD014416,ALVARADO CYN RD,MISSION GORGE PL - ADOBE FALLS RD,3950,2016-05-10
13164,VISTASORRENTOPY022316,VISTA SORRENTO PY,LUSK BL - SORRENTO VALLEY BL,16769,2016-05-10
5232,FAIRMOUNTAV012416,FAIRMOUNT AV,MISSION GORGE RD - SAN DIEGO MISSION RD,7075,2016-05-11
12569,TWAINAV022216,TWAIN AV,FAIRMOUNT AV - MISSION GORGE RD,6933,2016-05-11
8799,MISSIONGORGERD013116,MISSION GORGE RD,OLD CLIFFS RD - KATELYN CT,26792,2016-05-11
8764,MISSIONGORGEPL012116,MISSION GORGE PL,MISSION GORGE RD - ALVARADO CYN RD,3687,2016-05-11
11360,SANDIEGOMISSIONRD011916,SAN DIEGO MISSION RD,RANCHO MISSION RD - NAZARETH DR,8450,2016-05-11
5587,FRIARSRD012716,FRIARS RD,SD 015 RD - RANCHO MISSION RD,59210,2016-05-11
1606,ALVARADOCYNRD014316,ALVARADO CYN RD,FAIRMOUNT AV - MISSION GORGE PL,4087,2016-05-11
5562,FRIARSRD012516,FRIARS RD,RANCHO MISSION RD - SANTO RD,49773,2016-05-11
5575,FRIARSRD012616,FRIARS RD,RIVERDALE ST - MISSION GORGE RD,40462,2016-05-11
13643,WOODMANST013016,WOODMAN ST,SKYLINE DR - MARGARITA RD,6651,2016-05-11
5221,FAIRMOUNTAV011516,FAIRMOUNT AV,LANDIS ST - WIGHTMAN ST,13097,2016-05-12
12787,UNIVERSITYAV010916,UNIVERSITY AV,CHOLLAS PY - 58 ST,28866,2016-05-12
1159,54ST013916,54 ST,EL CAJON BL - COLLWOOD BL,20388,2016-05-12
1017,43ST011716,43 ST,MYRTLE AV - DWIGHT ST,3901,2016-05-12
4811,ELCAJONBL013616,EL CAJON BL,BERTING ST - DAYTON ST,24164,2016-05-12
12716,UNIVERSITYAV010816,UNIVERSITY AV,46 ST - MENLO AV,21344,2016-05-12
6548,HOMEAV010616,HOME AV,SD 805 AV - FAIRMOUNT AV,34007,2016-05-12
12754,UNIVERSITYAV010716,UNIVERSITY AV,58 ST - UNIVERSITY SQ DY,24425,2016-05-12
1195,54ST013516,54 ST,TROJAN AV - EL CAJON BL,24070,2016-05-12
3304,CARMELCREEKRD015816,CARMEL CREEK RD,CARMEL MTN RD - MAPLE RIDGE (PVT) RD,2004,2016-05-13
3342,CARMELMOUNTAINRD015616,CARMEL MOUNTAIN RD,CARMEL CRK RD - VIA MAR BALLENAS RD,18977,2016-05-17
8909,MONTEZUMARD013816,MONTEZUMA RD,FAIRMOUNT AV - COLLWOOD BL,46187,2016-05-17
10798,RANCHOMISSIONRD012016,RANCHO MISSION RD,SAN DIEGO MISSION RD - FRIARS RD,14885,2016-05-18
8917,MONTEZUMARD014116,MONTEZUMA RD,ROCKFORD DR - E CAMPUS  ST,16732,2016-05-19
1614,ALVARADOCYNRD014616,ALVARADO CYN RD,RESERVOIR DR - 70 ST,7333,2016-05-19
1552,ALDINEDR014516,ALDINE DR,FAIRMOUNT AV - MONROE AV,21284,2016-05-26
4852,ELCAJONBL013716,EL CAJON BL,MENLO AV - 47 ST,25773,2016-05-26
9649,NORTHSIDEDR012216,NORTHSIDE DR,FENTON MARKETPLACE DY - FRIARS RD,19788,2016-05-26
3012,CAMINODELRIOS014816,CAMINO DEL RIO S,SD 015  - CAMINITO PINTORESCO ,6793,2016-05-26
2990,CAMINODELRION012816,CAMINO DEL RIO N ,WARD RD - FAIRMOUNT AV,11933,2016-05-26
11365,SANDIEGOMISSIONRD011416,SAN DIEGO MISSION RD,SD 015 RD - RANCHO MISSION RD,7353,2016-05-26
8853,MONROEAV010116,MONROE AV,EUCLID AV - 48 ST,6495,2016-05-26
3345,CARMELMOUNTAINRD010216,CARMEL MOUNTAIN RD,CONFERENCE WY - RANCHO CARMEL DR,21172,2016-05-26
13367,WARDRD012916,WARD RD,CAMINO DEL RIO N  - RANCHO MISSION RD,9160,2016-05-26
4057,COLLEGEGROVEDR011816,COLLEGE GROVE DR,CHOLLAS PARK EN - COLLEGE GROVE WY,10248,2016-05-26
4045,COLLEGEAV011316,COLLEGE AV,STREAMVIEW DR - GLADE ST,24550,2016-05-26
9958,PACIFICHY021016,PACIFIC HY,CEDAR  ST - ELM ST,15590,2016-06-08
2736,CABLEST021316,CABLE ST,VOLTAIRE ST - W POINT LOMA BL,8673,2016-06-08
13209,VOLTAIREST021216,VOLTAIRE ST,SUNSET CLIFFS BL - CABLE ST,5972,2016-06-08
12209,SUNSETCLIFFSBL019216,SUNSET CLIFFS BL,LOTUS ST - W POINT LOMA BL,22161,2016-06-08
13189,VOLTAIREST017716,VOLTAIRE ST,BACON ST - ABBOTT ST,2674,2016-06-08
3220,CARDENODR021116,CARDENO DR,VIA CABRERA DR - LA JOLLA SCENIC DR,5725,2016-06-08
13316,WPOINTLOMABL019116,W POINT LOMA BL,BACON ST - ABBOTT ST,6304,2016-06-08
13432,WASHINGTONST016016,WASHINGTON ST,FRONT ST - 01 AV,24284,2016-06-08
1938,BACONST019516,BACON ST,BRIGHTON AV - LONG BRANCH AV,6189,2016-06-08
13421,WASHINGTONST016216,WASHINGTON ST,CLEVELAND AV - NORMAL ST,26356,2016-06-08
5487,FORTSTOCKTONDR016416,FORT STOCKTON DR,FALCON ST - GOLDFINCH ST,2479,2016-06-09
7639,LEWISST017116,LEWIS ST,LARK ST - INGALLS ST,1736,2016-06-09
5492,FORTSTOCKTONDR016516,FORT STOCKTON DR,GOLDFINCH ST - HAWK ST,8786,2016-06-09
13427,WASHINGTONST017316,WASHINGTON ST,EAGLE ST - DOVE ST,22354,2016-06-09
13426,WASHINGTONST017316,WASHINGTON ST,EAGLE ST - DOVE ST,21520,2016-06-09
6321,HAWKST018916,HAWK ST,FORT STOCKTON DR - LEWIS ST,2892,2016-06-09
12325,TEXASST017016,TEXAS ST,CAMINO RIO S  - SD 008 ,24712,2016-06-09
13439,WASHINGTONST017416,WASHINGTON ST,GOLDFINCH ST - FALCON ST,19618,2016-06-09
13466,WASHINGTONST016116,WASHINGTON ST,SD 163 R-C ST - RICHMOND ST,30826,2016-06-09
1933,BACHMANPL018516,BACHMAN PL,MONTECITO WY - ARBOR DR,7504,2016-06-09
2115,BARNETTAV018216,BARNETT AV,UPSHUR DR - MIDWAY DR,24360,2016-06-16
6200,HANCOCKST018416,HANCOCK ST,CAMINO DEL RIO ST - GREENWOOD ST,5859,2016-06-16
10030,PACIFICHY020716,PACIFIC HY,WRIGHT ST - BANDINI ST,47255,2016-06-16
9302,NHARBORDR020516,N HARBOR DR,WINSHIP LN - STILLWATER RD,76673,2016-06-16
9294,NHARBORDR020416,N HARBOR DR,SPANISH LANDING  - LANING RD ,20304,2016-06-16
12238,SUNSETRD021416,SUNSET RD,JUAN ST - LA CALLECITA ST,1070,2016-06-16
4660,EBEYERBL015916,E BEYER BL,SAN YSIDRO R-H BL - SAN YSIDRO  BL,3271,2016-06-16
11335,SANDIEGOAV016616,SAN DIEGO AV,ARISTA ST - LINWOOD ST,5797,2016-06-16
9552,NIMITZBL019416,NIMITZ BL,FAMOSA BL - W POINT LOMA BL,37930,2016-06-16
10013,PACIFICHY020816,PACIFIC HY,SASSAFRAS ST - VINE ST,13888,2016-06-16
7262,KURTZST017516,KURTZ ST,SMITH ST - ROSECRANS ST,10954,2016-06-16
7630,LELANDST018116,LELAND ST,CALYPSO PL - POINSETTIA DR,7868,2016-06-16
7887,LYTTONST018316,LYTTON ST,ROSECRANS ST - LOCUST ST,14162,2016-06-16
13327,WPOINTLOMABL017816,W POINT LOMA BL,SPORTS ARENA BL - GROTON  ST,25291,2016-06-16
8379,MIDWAYDR017916,MIDWAY DR,GAINES ST - RILEY ST,27156,2016-06-16
8940,MONTONGOST026516,MONTONGO ST,MONTONGO CR - TYROLEAN RD,4447,2016-06-16
7153,KEMPERST018016,KEMPER ST,MIDWAY DR - SPORTS ARENA BL,6698,2016-06-16
11617,SCRIPPSLAKEDR026916,SCRIPPS LAKE DR,MESA MADERA DR - SUNSET RIDGE DR,2809,2016-06-23
3463,CARROLLCANYONRD022516,CARROLL CANYON RD,BLACK MTN  RD - SD15 OFF RAMP RD,13422,2016-06-23
12522,TRADEPL026716,TRADE PL,TRADE ST - SILVERTON AV,8875,2016-06-23
7063,KEARNYVILLARD026616,KEARNY VILLA RD,AERO DR - BALBOA AV,14977,2016-06-28
13376,WARINGRD027216,WARING RD,ADOBE FALLS RD - ORCUTT AV,19473,2016-06-28
5597,FRONTST027116,FRONT  ST,WASHINGTON ST  - DICKINSON ST,6363,2016-06-28
12093,STALMERST027016,STALMER ST,ATLAS ST - LINDA VISTA RD,7031,2016-06-28
11864,SOLEDADAV027316,SOLEDAD AV,LUDINGTON PL - AL BAHR DR,1462,2016-06-29
8964,MOOREST017616,MOORE ST,OLD TOWN AV - AMPUDIA ST,7161,2016-06-29
12296,TAYLORST016916,TAYLOR ST,MORENA BL - PRESIDIO DR                     BL,14317,2016-06-29
10015,PACIFICHY018716,PACIFIC HY,SMITH  ST - ROSECRANS ST,13501,2016-06-29
10660,PRESIDIODR016816,PRESIDIO DR,ALTAMIRANO WY - COSOY WY,1541,2016-06-29
9751,OLDTOWNAV016716,OLD TOWN AV,MOORE ST - JEFFERSON ST,12133,2016-06-29
12284,TAYLORST018616,TAYLOR ST,CALHOUN ST - JUAN ST,19608,2016-06-29
10001,PACIFICHY018816,PACIFIC HY,ROSECRANS ST - FRIARS RD,7086,2016-06-29
6208,HANCOCKST019616,HANCOCK ST,EMORY ST - WASHINGTON ST,12838,2016-06-29
6209,HANCOCKST020616,HANCOCK ST,ESTUDILLO ST - WITHERBY ST,4634,2016-06-29
13462,WASHINGTONST020916,WASHINGTON ST,PACIFIC HY - HANCOCK ST,14629,2016-06-29
10828,RAYTHEONRD026816,RAYTHEON RD,CONVOY ST - MERCURY ST,1771,2016-06-29
3592,CATALINABL020116,CATALINA BL,TALBOT ST - HILL ST,17816,2016-06-30
10482,POINTLOMAAVAV019816,POINT LOMA AV AV,CATALINA BL - SAVOY ST,5740,2016-06-30
13204,VOLTAIREST019016,VOLTAIRE ST,SAN CLEMENTE ST - CATALINA BL,10219,2016-06-30
4727,EBERSST019316,EBERS ST,BRIGHTON AV - LONG BRANCH AV,7894,2016-06-30
4445,DELMARAV019716,DEL MAR AV,CANON ST - LIGGETT DR,3269,2016-06-30
10452,PLUMST019916,PLUM ST,LOWELL ST - MACAULAY ST,4647,2016-06-30
3184,CANONST020216,CANON ST,SCOTT ST - ROSECRANS ST,5824,2016-06-30
11571,SCOTTST020316,SCOTT ST,DICKENS ST - EMERSON ST,14261,2016-06-30
3575,CATALINABL020016,CATALINA BL,CORONADO AV - SANTA CRUZ AV,11230,2016-06-30
12182,SUNSETBL016316,SUNSET BL,FORT STOCKTON DR - SHERIDAN AV,1838,2016-06-30
13451,WASHINGTONST017216,WASHINGTON ST,INDIA ST - UNIVERSITY AV,29888,2016-06-30
5744,GARNETAV022816,GARNET AV,JEWELL ST - KENDALL ST,24375,2016-07-14
